"","State","Industry.federal","Subsidy.federal","Industry.local","Subsidy.local","Subsidy.domestic","Subsidy.foreign","Subsidy.mega.domestic","Subsidy.mega.foreign","foreign.share","mega.foreign.share","Industry.USA","Subsidy.USA","Industry.foreign","Subsidy.frg"
"1","Alabama","utilities and power generation",679857728,"metals",1275443220,292712577,2461209983,279400000,2406282722,0.893710672459868,0.895966862462468,"utilities and power generation",679857728,"metals",1275421720
"2","Alaska","railroads",61585693,"oil and gas",10737635,20314201,2e+05,0,0,0.00974934388134347,NA,"railroads",105785693,"oil and gas",8719416
"3","Arizona","utilities and power generation",641225171,"real estate",97400000,196272522,20663053,97400000,0,0.0952497210289276,0,"utilities and power generation",546064650,"diversified",465637464
"4","Arkansas","utilities and power generation",22165458,"metals",160829457,407589771,193363441,226600000,84744325,0.321761223900406,0.272188436387912,"metals",158533900,"diversified",104681512
"5","California","utilities and power generation",5401917694,"aerospace and military contracting",894920981,2254054570,69732032,1.397e+09,0,0.0300079327163622,0,"utilities and power generation",4808807974,"utilities and power generation",594334641
"6","Colorado","miscellaneous services",273150545,"real estate",300400000,483594510,26512013,3e+08,0,0.0519734835855059,0,"real estate",301098631,"utilities and power generation",93370864
"7","Connecticut","aerospace and military contracting",484311068,"financial services",751682027,2697265951,285568964,1190500000,0,0.0957374350702208,0,"aerospace and military contracting",1147819730,"financial services",181062706
"8","Delaware","utilities and power generation",91283039,"financial services",43827771,168349319,27966979,0,0,0.142458773341376,NA,"utilities and power generation",107804445,"automotive parts",25691218
"9","District of Columbia","utilities and power generation",155522496,"miscellaneous services",6e+07,77488233,728038,6e+07,0,0.00930801213982702,0,"utilities and power generation",155522496,"miscellaneous services",17041717
"10","Florida","utilities and power generation",810198485,"healthcare services",1268709191,2527325566,350671358,1385743000,134570236,0.121845633355514,0.0885148091942284,"healthcare services",1268709191,"private equity (including portfolio companies)",1.35e+08
"11","Georgia","paper and packaging",102874539,"motor vehicles",422400000,498577082,725758830,342650000,692500000,0.592777539959965,0.668985171231222,"financial services",439943835,"motor vehicles",419900000
